"number"	"Programme"	"Priority"	"Approved.Intervention.Rate"	"Grant.Award"	"total.actual.spend"	"Absorption.Capacity.2"	"Degree.Centrality"	"Eigenfactor"	"Betweenness.Centrality"	"Cohesive.Subgroup"	"LADC"	"ProjDC"	"BTC"	"EVC"	"Kcore"	"New.Type.Organisation"	"Type.Expenditure"	"Percentage.achieved"
"1"	1	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	40	67200	178136.43	53.65115169	8	0.055114296	0.00389953	10	2	61	0.001999869	0.028612123	27	"Government Department/Agencies"	"Capital"	157.8125
"2"	2	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	40	160000	365887.61	89.6687875	3	0.001477688	0.000552818	4	12	119	0.022037319	0.01403185	22	"Local Authority"	"Revenue"	92
"3"	3	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	37.50008899	210695	217660.79	0	4	0.014881445	0.00048259	10	8	160	0.01456742	0.058300591	26	"Government Department/Agencies"	"Revenue"	6.756756757
"4"	4	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	39	78117	46820.41	0	4	0.002299832	7.72e-05	0	8	160	0.01456742	0.058300591	26	"Government Department/Agencies"	"Revenue"	2.803738318
"5"	5	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	40.07419386	84260	263663.33	91.17754553	10	0.006165092	0.004432982	2	1	9	1e-05	0.000526235	9	"Economic and Social Development Body"	"Revenue"	100
"6"	6	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	39.99998733	9456553.98	23641392.44	99.80060904	18	0.029227539	0.006218579	3	4	155	0.014086241	0.036456505	27	"Higher Education"	"Capital"	182
"7"	7	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	40.59408506	2469977.08	5972208.99	91.26932824	14	0.033657621	0.005589211	7	4	155	0.014086241	0.036456505	27	"Higher Education"	"Revenue"	69.13580247
"8"	8	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	35.00000706	1487620	4440930.12	98.49295468	7	0.035514864	0.001782898	3	8	160	0.01456742	0.058300591	26	"Government Department/Agencies"	"Revenue"	93.76770538
"9"	9	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	14.73448459	5e+05	3361751.83	62.25877822	1	0.00093796	0	6	12	119	0.022037319	0.01403185	22	"Local Authority"	"Capital"	20
"10"	10	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	16.83501684	25000	143939.46	96.92892929	2	0.000212497	0.00052082	0	1	11	0.001113565	0.003160843	8	"Voluntary Sector"	"Capital"	97.2027972
"11"	11	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	25	250000	1014993.67	101.499367	2	0.001115857	5.05e-05	2	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	100
"12"	12	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	39.47806276	528162	1146962.22	85.73098122	15	0.028900282	0.007106061	2	1	31	9.85e-05	0.003806559	19	"Voluntary Sector"	"Capital"	99.83443709
"13"	13	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	36.42463755	217033.42	595842.36	93.0619921	16	0.003562982	0.006826156	4	1	30	0.000161194	0.000472116	17	"Voluntary Sector"	"Capital"	100
"14"	14	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	25.42297467	3104123.43	12233944.33	100.1968072	13	0.027511638	0.009862777	7	1	16	5.26e-05	0.003020177	12	"Voluntary Sector"	"Capital"	5.357142857
"15"	15	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	36.45471403	129596.8	337949.57	95.06295626	18	0.003442251	0.008974998	1	1	17	1e-05	0.000293788	17	"Voluntary Sector"	"Capital"	99.78991597
"16"	16	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	40	1040000	2580838.7	7.73505	10	0.001028515	0.004562913	4	12	119	0.022037319	0.01403185	22	"Local Authority"	"Capital"	98.26689775
"17"	17	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	40	540000	1179446.81	48.23138889	2	0.014632835	0.000298186	3	4	173	0.017601264	0.029707023	29	"Government Department/Agencies"	"Revenue"	89.81481481
"18"	18	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	40.00018126	91363.19	224436.55	92.16940168	22	0.021768319	0.014379136	10	1	21	1e-05	0.001858078	21	"Economic and Social Development Body"	"Revenue"	92.61744966
"19"	19	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	39.96281978	135000	299253.33	85.42431362	6	0.00249961	0.002126908	2	2	61	0.001999869	0.028612123	27	"Government Department/Agencies"	"Capital"	103.7280702
"20"	20	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	40	560000	427621.85	30.54441786	7	0.015443773	0.001257786	1	2	24	0.000457651	0.004283108	14	"Economic and Social Development Body"	"Revenue"	30.35714286
"21"	21	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	44.7563657	212969.25	457604.37	41.82328665	15	0.000881313	0.006880634	1	1	14	1e-05	7.52e-05	14	"Economic and Social Development Body"	"Capital"	100
"22"	22	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	44.61001509	1099289.36	2464221	55.94460115	11	0.003029473	0.003829741	1	3	36	0.001481543	0.00498884	17	"Local Authority"	"Capital"	58.82352941
"23"	23	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	22.30003293	243073.22	963030.18	82.93550361	10	0.003369467	0.004614729	4	1	73	0.004075208	0.006711175	23	"Voluntary Sector"	"Capital"	150
"24"	24	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	31.91358976	262990	816966.26	90.99285982	27	0.01413233	0.0130445	7	6	69	0.004990464	0.006276305	26	"Local Authority"	"Capital"	42.85714286
"25"	25	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	25	223975	859060.74	90.67528296	1	0.001259985	0	0	12	119	0.022037319	0.01403185	22	"Local Authority"	"Capital"	50
"26"	26	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	39.99999827	92497.6	231244.01	89.22399763	6	0.010393873	0.003554956	3	6	69	0.004990464	0.006276305	26	"Local Authority"	"Revenue"	100
"27"	27	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	40.00024864	61455.55	199667.66	80.22157168	5	0.001374788	0.000688392	3	6	69	0.004990464	0.006276305	26	"Local Authority"	"Revenue"	100
"28"	28	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	40	108763.6	261444.3	96.15139624	6	0.013273485	0.00143004	0	3	36	0.001481543	0.00498884	17	"Local Authority"	"Capital"	100
